"","Id","LotArea","Street","LotShape","LandContour","Utilities","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","RoofStyle","Foundation","TotalBsmtSF","Heating","CentralAir","Electrical","GrLivArea","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageArea","MoSold","YrSold","SalePrice"
"27",27,7200,"Pave","Reg","Lvl","AllPub","NAmes","1Fam","1Story",5,7,1951,"Gable","CBlock",900,"GasA","Y","SBrkr",900,1,0,3,1,"Gd",5,0,"Detchd",576,5,2010,"0"
"28",28,11478,"Pave","Reg","Lvl","AllPub","NridgHt","1Fam","1Story",8,5,2007,"Gable","PConc",1704,"GasA","Y","SBrkr",1704,2,0,3,1,"Gd",7,1,"Attchd",772,5,2010,"1"
"29",29,16321,"Pave","IR1","Lvl","AllPub","NAmes","1Fam","1Story",5,6,1957,"Gable","CBlock",1484,"GasA","Y","SBrkr",1600,1,0,2,1,"TA",6,2,"Attchd",319,12,2006,"1"
"30",30,6324,"Pave","IR1","Lvl","AllPub","BrkSide","1Fam","1Story",4,6,1927,"Gable","BrkTil",520,"GasA","N","SBrkr",520,1,0,1,1,"Fa",4,0,"Detchd",240,5,2008,"0"
"31",31,8500,"Pave","Reg","Lvl","AllPub","IDOTRR","1Fam","2Story",4,4,1920,"Gambrel","BrkTil",649,"GasA","N","SBrkr",1317,1,0,3,1,"TA",6,0,"Detchd",250,7,2008,"0"
"32",32,8544,"Pave","IR1","Lvl","AllPub","Sawyer","1Fam","1Story",5,6,1966,"Gable","CBlock",1228,"GasA","Y","SBrkr",1228,1,1,3,1,"Gd",6,0,"Attchd",271,6,2008,"0"
"33",33,11049,"Pave","Reg","Lvl","AllPub","CollgCr","1Fam","1Story",8,5,2007,"Gable","PConc",1234,"GasA","Y","SBrkr",1234,2,0,3,1,"Gd",7,0,"Attchd",484,1,2008,"0"
"34",34,10552,"Pave","IR1","Lvl","AllPub","NAmes","1Fam","1Story",5,5,1959,"Hip","CBlock",1398,"GasA","Y","SBrkr",1700,1,1,4,1,"Gd",6,1,"Attchd",447,4,2010,"0"
"35",35,7313,"Pave","Reg","Lvl","AllPub","NridgHt","TwnhsE","1Story",9,5,2005,"Hip","PConc",1561,"GasA","Y","SBrkr",1561,2,0,2,1,"Ex",6,1,"Attchd",556,8,2007,"1"
"36",36,13418,"Pave","Reg","Lvl","AllPub","NridgHt","1Fam","2Story",8,5,2004,"Gable","PConc",1117,"GasA","Y","SBrkr",2452,3,1,4,1,"Gd",9,1,"BuiltIn",691,9,2006,"1"
"37",37,10859,"Pave","Reg","Lvl","AllPub","CollgCr","1Fam","1Story",5,5,1994,"Gable","PConc",1097,"GasA","Y","SBrkr",1097,1,1,3,1,"TA",6,0,"Attchd",672,6,2009,"0"
"38",38,8532,"Pave","Reg","Lvl","AllPub","NAmes","1Fam","1Story",5,6,1954,"Hip","CBlock",1297,"GasA","Y","SBrkr",1297,1,0,3,1,"TA",5,1,"Attchd",498,10,2009,"0"
"39",39,7922,"Pave","Reg","Lvl","AllPub","NAmes","1Fam","1Story",5,7,1953,"Gable","CBlock",1057,"GasA","Y","SBrkr",1057,1,0,3,1,"Gd",5,0,"Detchd",246,1,2010,"0"
"40",40,6040,"Pave","Reg","Lvl","AllPub","Edwards","Duplex","1Story",4,5,1955,"Gable","PConc",0,"GasA","N","FuseP",1152,2,0,2,2,"Fa",6,0,"None",0,6,2008,"0"
"41",41,8658,"Pave","Reg","Lvl","AllPub","NAmes","1Fam","1Story",6,5,1965,"Gable","CBlock",1088,"GasA","Y","SBrkr",1324,2,0,3,1,"TA",6,1,"Attchd",440,12,2006,"0"
"42",42,16905,"Pave","Reg","Lvl","AllPub","Timber","1Fam","1Story",5,6,1959,"Gable","CBlock",1350,"GasA","Y","SBrkr",1328,1,1,2,1,"TA",5,2,"Attchd",308,7,2007,"0"
"43",43,9180,"Pave","IR1","Lvl","AllPub","SawyerW","1Fam","SFoyer",5,7,1983,"Gable","CBlock",840,"GasA","Y","SBrkr",884,1,0,2,1,"Gd",5,0,"Attchd",504,12,2007,"0"
"44",44,9200,"Pave","IR1","Lvl","AllPub","CollgCr","1Fam","1Story",5,6,1975,"Hip","CBlock",938,"GasA","Y","SBrkr",938,1,0,3,1,"TA",5,0,"Detchd",308,7,2008,"0"
"45",45,7945,"Pave","Reg","Lvl","AllPub","NAmes","1Fam","1Story",5,6,1959,"Gable","CBlock",1150,"GasA","Y","FuseA",1150,1,0,3,1,"TA",6,0,"Attchd",300,5,2006,"0"
"46",46,7658,"Pave","Reg","Lvl","AllPub","NridgHt","TwnhsE","1Story",9,5,2005,"Hip","PConc",1752,"GasA","Y","SBrkr",1752,2,0,2,1,"Ex",6,1,"Attchd",576,2,2010,"1"
"47",47,12822,"Pave","IR1","Lvl","AllPub","Mitchel","1Fam","1.5Fin",7,5,2003,"Gable","PConc",1434,"GasA","Y","SBrkr",2149,1,1,1,1,"Gd",6,1,"Attchd",670,8,2009,"1"
"48",48,11096,"Pave","Reg","Lvl","AllPub","Somerst","1Fam","1Story",8,5,2006,"Gable","PConc",1656,"GasA","Y","SBrkr",1656,2,0,3,1,"Gd",7,0,"Attchd",826,7,2007,"1"
"49",49,4456,"Pave","Reg","Lvl","AllPub","OldTown","2fmCon","2Story",4,5,1920,"Gable","BrkTil",736,"GasA","Y","SBrkr",1452,2,0,2,3,"TA",8,0,"None",0,6,2009,"0"
"50",50,7742,"Pave","Reg","Lvl","AllPub","Sawyer","1Fam","1Story",5,7,1966,"Gable","CBlock",955,"GasA","Y","SBrkr",955,1,0,3,1,"TA",6,0,"Attchd",386,1,2007,"0"
"51",51,13869,"Pave","IR2","Lvl","AllPub","Gilbert","1Fam","2Story",6,6,1997,"Gable","PConc",794,"GasA","Y","SBrkr",1470,2,0,3,1,"TA",6,0,"Attchd",388,7,2007,"0"
"52",52,6240,"Pave","Reg","Lvl","AllPub","BrkSide","1Fam","1.5Fin",6,6,1934,"Gable","PConc",816,"GasA","Y","SBrkr",1176,1,0,3,1,"TA",6,1,"Detchd",528,9,2006,"0"
"53",53,8472,"Grvl","IR2","Bnk","AllPub","IDOTRR","Duplex","1Story",5,5,1963,"Gable","CBlock",816,"GasA","N","SBrkr",816,1,0,2,1,"TA",5,0,"CarPort",516,5,2010,"0"
"54",54,50271,"Pave","IR1","Low","AllPub","Veenker","1Fam","1Story",9,5,1981,"Gable","CBlock",1842,"GasA","Y","SBrkr",1842,0,1,0,1,"Gd",5,1,"Attchd",894,11,2006,"1"
"55",55,7134,"Pave","Reg","Bnk","AllPub","NAmes","1Fam","SLvl",5,5,1955,"Gable","CBlock",384,"GasA","Y","SBrkr",1360,1,0,3,1,"TA",6,1,"Detchd",572,2,2007,"0"
"56",56,10175,"Pave","IR1","Lvl","AllPub","NAmes","1Fam","1Story",6,5,1964,"Gable","CBlock",1425,"GasA","Y","SBrkr",1425,2,0,3,1,"TA",7,1,"Attchd",576,7,2008,"0"
"57",57,2645,"Pave","Reg","Lvl","AllPub","Somerst","Twnhs","2Story",8,5,1999,"Gable","PConc",970,"GasA","Y","SBrkr",1739,2,1,3,1,"Gd",7,0,"Attchd",480,8,2009,"0"
"58",58,11645,"Pave","IR1","Lvl","AllPub","CollgCr","1Fam","2Story",7,5,2004,"Gable","PConc",860,"GasA","Y","SBrkr",1720,2,1,3,1,"Gd",7,0,"Attchd",565,8,2006,"1"
"59",59,13682,"Pave","IR2","HLS","AllPub","StoneBr","1Fam","2Story",10,5,2006,"Hip","PConc",1410,"GasA","Y","SBrkr",2945,3,1,3,1,"Gd",10,1,"BuiltIn",641,10,2006,"1"
"60",60,7200,"Pave","Reg","Bnk","AllPub","CollgCr","1Fam","1Story",5,7,1972,"Gable","CBlock",780,"GasA","Y","SBrkr",780,1,0,2,1,"TA",4,0,"Detchd",352,1,2008,"0"
"61",61,13072,"Pave","Reg","Lvl","AllPub","SawyerW","1Fam","1Story",6,5,2004,"Gable","PConc",1158,"GasA","Y","SBrkr",1158,1,1,3,1,"Gd",5,0,"Detchd",576,5,2006,"0"
"62",62,7200,"Pave","Reg","Lvl","AllPub","IDOTRR","1Fam","2.5Unf",5,7,1920,"Gable","BrkTil",530,"GasA","N","SBrkr",1111,1,0,3,1,"Fa",6,0,"Detchd",288,3,2007,"0"
"63",63,6442,"Pave","IR1","Lvl","AllPub","NridgHt","TwnhsE","1Story",8,5,2006,"Gable","PConc",1370,"GasA","Y","SBrkr",1370,2,0,2,1,"Gd",6,1,"Attchd",484,10,2007,"1"
"64",64,10300,"Pave","IR1","Bnk","AllPub","OldTown","1Fam","2Story",7,6,1921,"Gable","BrkTil",576,"GasA","Y","SBrkr",1710,2,0,3,1,"TA",9,0,"Detchd",480,4,2010,"0"
"65",65,9375,"Pave","Reg","Lvl","AllPub","CollgCr","1Fam","2Story",7,5,1997,"Gable","PConc",1057,"GasA","Y","SBrkr",2034,2,1,3,1,"Gd",8,0,"Attchd",645,2,2009,"1"
"66",66,9591,"Pave","Reg","Lvl","AllPub","NridgHt","1Fam","2Story",8,5,2004,"Gable","PConc",1143,"GasA","Y","SBrkr",2473,2,1,4,1,"Gd",9,1,"BuiltIn",852,10,2007,"1"
"67",67,19900,"Pave","Reg","Lvl","AllPub","NAmes","1Fam","1Story",7,5,1970,"Gable","CBlock",1947,"GasA","Y","SBrkr",2207,2,0,3,1,"TA",7,1,"Attchd",576,7,2010,"0"
"68",68,10665,"Pave","IR1","Lvl","AllPub","CollgCr","1Fam","1Story",7,5,2003,"Gable","PConc",1453,"GasA","Y","SBrkr",1479,2,0,3,1,"Gd",7,0,"Attchd",558,6,2007,"1"
"69",69,4608,"Pave","Reg","Lvl","AllPub","OldTown","1Fam","1Story",4,6,1945,"Gable","CBlock",747,"GasA","Y","SBrkr",747,1,0,2,1,"TA",4,0,"Attchd",220,6,2010,"0"
"70",70,15593,"Pave","Reg","Lvl","AllPub","ClearCr","1Fam","1.5Fin",7,4,1953,"Gable","CBlock",1304,"GasW","Y","SBrkr",2287,2,0,3,1,"TA",7,1,"Attchd",667,7,2006,"1"
"71",71,13651,"Pave","IR1","Lvl","AllPub","NAmes","1Fam","1Story",7,6,1973,"Gable","CBlock",2223,"GasA","Y","SBrkr",2223,2,0,3,1,"TA",8,2,"Attchd",516,2,2007,"1"
"72",72,7599,"Pave","Reg","Lvl","AllPub","Mitchel","1Fam","1Story",4,6,1982,"Gable","CBlock",845,"GasA","Y","SBrkr",845,1,0,2,1,"TA",4,0,"Detchd",360,6,2007,"0"
"73",73,10141,"Pave","IR1","Lvl","AllPub","Gilbert","1Fam","2Story",7,5,1998,"Gable","PConc",832,"GasA","Y","SBrkr",1718,2,1,3,1,"TA",7,1,"Attchd",427,12,2009,"1"
"74",74,10200,"Pave","Reg","Lvl","AllPub","NAmes","1Fam","1Story",5,7,1954,"Gable","CBlock",1086,"GasA","Y","SBrkr",1086,1,0,3,1,"TA",6,0,"Attchd",490,5,2010,"0"
"75",75,5790,"Pave","Reg","Lvl","AllPub","OldTown","1Fam","2Story",3,6,1915,"Gambrel","CBlock",840,"GasA","N","SBrkr",1605,2,0,3,2,"TA",8,0,"Detchd",379,5,2010,"0"
"76",76,1596,"Pave","Reg","Lvl","AllPub","MeadowV","Twnhs","SLvl",4,5,1973,"Gable","CBlock",462,"GasA","Y","SBrkr",988,1,0,2,1,"TA",5,0,"BuiltIn",297,11,2009,"0"
"77",77,8475,"Pave","IR1","Lvl","AllPub","NAmes","1Fam","1Story",4,7,1956,"Gable","CBlock",952,"GasA","Y","FuseA",952,1,0,2,1,"TA",4,0,"Detchd",283,4,2008,"0"
"78",78,8635,"Pave","Reg","Lvl","AllPub","BrkSide","1Fam","1.5Fin",5,5,1948,"Gable","CBlock",672,"GasA","Y","SBrkr",1285,1,0,2,1,"TA",6,0,"Detchd",240,1,2008,"0"
"79",79,10778,"Pave","Reg","Lvl","AllPub","Sawyer","Duplex","1Story",4,5,1968,"Hip","CBlock",1768,"GasA","N","SBrkr",1768,2,0,4,2,"TA",8,0,"None",0,4,2010,"0"
"80",80,10440,"Pave","Reg","Lvl","AllPub","OldTown","1Fam","2Story",5,6,1910,"Gable","PConc",440,"GasA","Y","SBrkr",1230,1,1,2,1,"TA",5,0,"Detchd",440,5,2009,"0"
"81",81,13000,"Pave","Reg","Lvl","AllPub","NAmes","1Fam","2Story",6,6,1968,"Gable","CBlock",896,"GasA","Y","SBrkr",2142,2,1,4,1,"Gd",8,1,"Attchd",509,6,2009,"1"
"82",82,4500,"Pave","Reg","Lvl","AllPub","Mitchel","TwnhsE","1Story",6,5,1998,"Hip","PConc",1237,"GasA","Y","SBrkr",1337,2,0,2,1,"TA",5,0,"Attchd",405,3,2006,"0"
"83",83,10206,"Pave","Reg","Lvl","AllPub","Somerst","1Fam","1Story",8,5,2007,"Gable","PConc",1563,"GasA","Y","SBrkr",1563,2,0,3,1,"Gd",6,1,"Attchd",758,10,2008,"1"
"84",84,8892,"Pave","IR1","Lvl","AllPub","NAmes","1Fam","1Story",5,5,1960,"Gable","CBlock",1065,"GasA","Y","SBrkr",1065,1,1,3,1,"TA",6,0,"Detchd",461,7,2007,"0"
"85",85,8530,"Pave","IR1","Lvl","AllPub","Gilbert","1Fam","SLvl",7,5,1995,"Gable","PConc",384,"GasA","Y","SBrkr",1474,2,1,3,1,"TA",7,1,"BuiltIn",400,5,2009,"0"
"86",86,16059,"Pave","Reg","Lvl","AllPub","NoRidge","1Fam","2Story",8,5,1991,"Hip","CBlock",1288,"GasA","Y","SBrkr",2417,2,1,4,1,"Gd",9,1,"Attchd",462,4,2006,"1"
"87",87,11911,"Pave","IR2","Lvl","AllPub","Gilbert","1Fam","2Story",6,5,2005,"Gable","PConc",684,"GasA","Y","SBrkr",1560,2,1,3,1,"Gd",6,1,"BuiltIn",400,3,2009,"0"
"88",88,3951,"Pave","Reg","Lvl","AllPub","Somerst","TwnhsE","2Story",6,5,2009,"Gable","PConc",612,"GasA","Y","SBrkr",1224,2,1,2,1,"Gd",4,0,"Detchd",528,6,2009,"0"
"89",89,8470,"Pave","IR1","Lvl","AllPub","IDOTRR","1Fam","1.5Fin",3,2,1915,"Hip","CBlock",1013,"GasA","N","SBrkr",1526,1,0,2,1,"Fa",6,0,"None",0,10,2009,"0"
"90",90,8070,"Pave","Reg","Lvl","AllPub","CollgCr","1Fam","1Story",4,5,1994,"Gable","PConc",990,"GasA","Y","SBrkr",990,1,0,3,1,"TA",5,0,"None",0,8,2007,"0"
"91",91,7200,"Pave","Reg","Lvl","AllPub","NAmes","1Fam","1Story",4,5,1950,"Gable","Slab",0,"GasA","Y","FuseA",1040,1,0,2,1,"TA",4,0,"Detchd",420,7,2006,"0"
"92",92,8500,"Pave","Reg","Lvl","AllPub","NAmes","1Fam","1Story",5,3,1961,"Hip","CBlock",1235,"GasA","Y","SBrkr",1235,1,0,2,1,"TA",6,0,"Attchd",480,12,2006,"0"
"93",93,13360,"Pave","IR1","HLS","AllPub","Crawfor","1Fam","1Story",5,7,1921,"Gable","BrkTil",876,"GasA","Y","SBrkr",964,1,0,2,1,"TA",5,0,"Detchd",432,8,2009,"0"
"94",94,7200,"Pave","Reg","Lvl","AllPub","OldTown","2fmCon","2.5Unf",6,6,1910,"Hip","BrkTil",1214,"GasW","N","SBrkr",2291,2,0,4,2,"TA",9,1,"Detchd",506,11,2007,"0"
"95",95,9337,"Pave","IR1","Lvl","AllPub","CollgCr","1Fam","2Story",6,5,1997,"Gable","PConc",824,"GasA","Y","SBrkr",1786,2,1,3,1,"Gd",7,0,"Attchd",684,5,2007,"1"
"96",96,9765,"Pave","IR2","Lvl","AllPub","Gilbert","1Fam","2Story",6,8,1993,"Gable","PConc",680,"GasA","Y","SBrkr",1470,2,1,3,1,"TA",6,1,"BuiltIn",420,4,2009,"1"
"97",97,10264,"Pave","IR1","Lvl","AllPub","CollgCr","1Fam","1Story",7,5,1999,"Gable","PConc",1588,"GasA","Y","SBrkr",1588,2,0,3,1,"Gd",6,0,"Attchd",472,8,2006,"1"
"98",98,10921,"Pave","Reg","HLS","AllPub","Edwards","1Fam","1Story",4,5,1965,"Hip","CBlock",960,"GasA","Y","FuseF",960,1,0,3,1,"TA",6,0,"Attchd",432,5,2007,"0"
"99",99,10625,"Pave","Reg","Lvl","AllPub","Edwards","1Fam","1Story",5,5,1920,"Gable","BrkTil",458,"GasA","N","SBrkr",835,1,0,2,1,"TA",5,0,"Basment",366,5,2010,"0"
"100",100,9320,"Pave","IR1","Lvl","AllPub","NAmes","1Fam","1Story",4,5,1959,"Gable","CBlock",950,"GasA","Y","SBrkr",1225,1,1,3,1,"TA",6,0,"None",0,1,2010,"0"
"101",101,10603,"Pave","IR1","Lvl","AllPub","NWAmes","1Fam","1Story",6,7,1977,"Gable","PConc",1610,"GasA","Y","SBrkr",1610,2,0,3,1,"Gd",6,2,"Attchd",480,2,2010,"1"
"102",102,9206,"Pave","Reg","Lvl","AllPub","SawyerW","1Fam","2Story",6,5,1985,"Gable","CBlock",741,"GasA","Y","SBrkr",1732,2,1,3,1,"Gd",7,1,"Attchd",476,6,2010,"0"
"103",103,7018,"Pave","Reg","Bnk","AllPub","SawyerW","Duplex","1Story",5,5,1979,"Gable","Slab",0,"GasA","Y","SBrkr",1535,2,0,4,2,"TA",8,0,"Attchd",410,6,2009,"0"
"104",104,10402,"Pave","IR1","Lvl","AllPub","CollgCr","1Fam","1Story",7,5,2009,"Gable","PConc",1226,"GasA","Y","SBrkr",1226,2,0,3,1,"Gd",6,0,"Attchd",740,5,2010,"1"
"105",105,7758,"Pave","Reg","Lvl","AllPub","IDOTRR","1Fam","1.5Fin",7,4,1931,"Gable","PConc",1040,"GasA","Y","FuseF",1818,1,1,4,1,"TA",7,2,"Detchd",240,6,2007,"0"
"106",106,9375,"Pave","Reg","Lvl","AllPub","Somerst","1Fam","2Story",8,5,2003,"Hip","PConc",1053,"GasA","Y","SBrkr",1992,2,1,3,1,"Gd",9,1,"Attchd",648,8,2008,"1"
"107",107,10800,"Pave","Reg","Lvl","AllPub","OldTown","1Fam","1Story",4,7,1885,"Mansard","BrkTil",641,"GasA","Y","SBrkr",1047,1,0,2,1,"TA",6,0,"Detchd",273,8,2007,"0"
"108",108,6000,"Pave","Reg","Lvl","AllPub","OldTown","1Fam","1Story",5,5,1948,"Gable","CBlock",789,"GasA","Y","SBrkr",789,1,0,2,1,"TA",5,0,"Detchd",250,4,2008,"0"
"109",109,8500,"Pave","Reg","Lvl","AllPub","IDOTRR","1Fam","1.5Fin",5,7,1919,"Gable","CBlock",793,"GasW","N","FuseF",1517,2,0,3,1,"Fa",7,0,"None",0,8,2007,"0"
"110",110,11751,"Pave","IR1","Lvl","AllPub","NWAmes","1Fam","1Story",6,6,1977,"Hip","CBlock",1844,"GasA","Y","SBrkr",1844,2,0,3,1,"TA",7,1,"Attchd",546,1,2010,"1"
"111",111,9525,"Pave","Reg","Lvl","AllPub","Edwards","1Fam","1.5Fin",6,4,1954,"Gable","CBlock",994,"GasA","Y","SBrkr",1855,2,0,4,1,"TA",7,0,"Attchd",325,10,2006,"0"
"112",112,7750,"Pave","IR1","Lvl","AllPub","Gilbert","1Fam","SLvl",7,5,2000,"Gable","PConc",384,"GasA","Y","SBrkr",1430,2,1,3,1,"TA",7,1,"BuiltIn",400,4,2010,"0"
"113",113,9965,"Pave","Reg","Lvl","AllPub","CollgCr","1Fam","2Story",7,5,2007,"Gable","PConc",1264,"GasA","Y","SBrkr",2696,2,1,4,1,"Ex",10,1,"BuiltIn",792,10,2007,"1"
"114",114,21000,"Pave","Reg","Bnk","AllPub","Crawfor","1Fam","1Story",6,5,1953,"Hip","CBlock",1809,"GasA","Y","SBrkr",2259,2,0,3,1,"Gd",7,2,"Basment",450,10,2007,"1"
"115",115,7259,"Pave","IR1","Lvl","AllPub","Crawfor","1Fam","2Story",6,8,1945,"Gambrel","CBlock",1028,"GasA","Y","SBrkr",2320,2,1,3,1,"Gd",9,1,"Detchd",180,7,2007,"1"
"116",116,3230,"Pave","Reg","Lvl","AllPub","Somerst","TwnhsE","2Story",6,5,1999,"Gable","PConc",729,"GasA","Y","SBrkr",1458,2,1,2,1,"TA",5,1,"Detchd",440,6,2007,"0"
"117",117,11616,"Pave","Reg","Lvl","AllPub","Sawyer","1Fam","1Story",5,5,1962,"Gable","CBlock",1092,"GasA","Y","SBrkr",1092,1,0,3,1,"TA",6,1,"Attchd",288,9,2009,"0"
"118",118,8536,"Pave","Reg","Lvl","AllPub","Edwards","1Fam","1Story",5,5,2006,"Gable","PConc",1125,"GasA","Y","SBrkr",1125,1,1,2,1,"TA",5,0,"Attchd",430,4,2007,"0"
"119",119,12376,"Pave","Reg","Lvl","AllPub","SawyerW","1Fam","2Story",7,5,1990,"Hip","PConc",1673,"GasA","Y","SBrkr",3222,3,0,5,1,"Gd",11,2,"Attchd",594,5,2010,"1"
"120",120,8461,"Pave","Reg","Lvl","AllPub","CollgCr","1Fam","2Story",6,5,2005,"Gable","PConc",728,"GasA","Y","SBrkr",1456,2,1,3,1,"Gd",8,1,"Attchd",390,7,2006,"0"
"121",121,21453,"Pave","IR1","Low","AllPub","ClearCr","1Fam","SLvl",6,5,1969,"Flat","CBlock",938,"GasA","Y","SBrkr",988,1,0,1,1,"TA",4,2,"Attchd",540,10,2006,"0"
